level,rep,group,diet_no,ratio,yeast,sugar,CFU_AP,CFU_LB,Fecundity,Weight,Protein,Glucose,TAG,Average_counts_L,Average_counts_D,sleep_time_L,sleep_time_D
45,9,AP,6,01:00.2,37.5,7.5,,,,,,,,,,,
45,9,AP+LB,6,01:00.2,37.5,7.5,,,,,,,,,,,
45,9,AX,6,01:00.2,37.5,7.5,0,0,,,,,,,,,
45,9,CV,6,01:00.2,37.5,7.5,,,,1.684,0.676476423,0.011500582,0.12583481,,,,
45,9,LB,6,01:00.2,37.5,7.5,,,,,,,,,,,
90,1,AP,12,01:00.2,75,15,32000,0,47,1.43645,0.909919553,0.022284025,0.221536845,77.13402062,29.13541667,44.65,166.5606061
90,1,AP+LB,12,01:00.2,75,15,13200,2400,86,1.309,0.853507547,0.010086275,0.104736296,45.93814433,43.16666667,42.03333333,136.1041667
90,1,AX,12,01:00.2,75,15,0,0,84,1.55365,1.350526576,0.018835366,0.14217256,38.59793814,15.90625,93.5462963,121.6020833
90,1,CV,12,01:00.2,75,15,153600,44800,83,1.534375,0.384178369,0.012335738,0.096149437,68.50515464,43.41666667,78.07058824,112.9297619
90,1,LB,12,01:00.2,75,15,0,2966.666667,68,1.43535,0.621532158,0.00723279,0.095066152,62.57731959,34.0625,33.92916667,114.4811111
90,2,AP,12,01:00.2,75,15,3800,0,71,1.3078,0.837,0.016766902,0.131,75.82474227,89.34375,217.8888889,140.7452381
90,2,AP+LB,12,01:00.2,75,15,19200,14400,95,1.745,0.857524481,0.00907403,0.093665574,34.89690722,18.17708333,78.29666667,165.4958333
90,2,AX,12,01:00.2,75,15,0,0,36,1.2308,1.118,0.019351114,0.177282371,38.95876289,46.45833333,44.30087719,50.58733333
90,2,CV,12,01:00.2,75,15,51200,44800,34,1.7745,0.903,0.014451302,0.111842388,50.45360825,28.46875,82.84583333,106.3541667
90,2,LB,12,01:00.2,75,15,0,2700,67,1.3318,0.929,0.013466203,0.12655742,65.97938144,69.19791667,40.02083333,72.725
90,3,AP,12,01:00.2,75,15,512000,0,58,1.5634,0.958457217,0.015846492,0.14,32.41237113,10.95833333,78.34782609,279.3166667
90,3,AP+LB,12,01:00.2,75,15,25600,5600,87,1.654,0.919599307,0.008212775,0.099573345,83.89690722,18.72916667,79.96041667,116.9655556
90,3,AX,12,01:00.2,75,15,0,0,38,1.6458,0.81398253,0.013263799,0.239,48.6185567,30.55208333,41.1547619,161.1621212
90,3,CV,12,01:00.2,75,15,,,32,1.219,1.202653614,0.012472015,0.109061133,103.4845361,78.45833333,70.66666667,71.96153846
90,3,LB,12,01:00.2,75,15,0,1600,54,1.3582,1.171647231,0.014616653,0.149312183,72.42268041,23.16666667,49.27380952,169.8375
90,4,AP,12,01:00.2,75,15,12300,0,115,1.4276,0.91556034,0.012373924,0.08755954,26.96907216,17.19791667,65.04166667,159.4272727
90,4,AP+LB,12,01:00.2,75,15,41600,53333.33333,83,1.404,1.380182362,0.009439961,0.126238107,52.45360825,35.52083333,103.3796296,105.222619
